step,age_years,frailty,stem_cell_pool,ros_level,myeloid_bias,telomere_length,methylation_age,is_alive
16717,45.7687,0.596689,0.959170,0.341788,0.281021,1.000000,49.274059,true
16790,45.9685,0.599165,0.958793,0.346440,0.283335,1.000000,49.506844,true
16863,46.1684,0.601650,0.958413,0.351095,0.285656,1.000000,49.739765,true
16936,46.3682,0.604144,0.958031,0.355754,0.287986,1.000000,49.972847,true
17009,46.5681,0.606647,0.957646,0.360417,0.290325,1.000000,50.206188,true
17082,46.7680,0.609158,0.957259,0.365083,0.292672,1.000000,50.439671,true
17155,46.9678,0.611678,0.956870,0.369753,0.295027,1.000000,50.673309,true
17228,47.1677,0.614206,0.956478,0.374427,0.297391,1.000000,50.907215,true
17301,47.3676,0.616743,0.956083,0.379104,0.299764,1.000000,51.141266,true
17374,47.5674,0.619289,0.955686,0.383785,0.302144,1.000000,51.375465,true
17447,47.7673,0.621842,0.955287,0.388469,0.304533,1.000000,51.609940,true
17520,47.9671,0.624404,0.954885,0.393157,0.306931,1.000000,51.844566,true
17593,48.1670,0.626974,0.954480,0.397848,0.309337,1.000000,52.079346,true
17666,48.3669,0.629552,0.954073,0.402543,0.311751,1.000000,52.314377,true
17739,48.5667,0.632137,0.953663,0.407242,0.314174,1.000000,52.549587,true
17812,48.7666,0.634731,0.953251,0.411944,0.316605,1.000000,52.784954,true
17885,48.9665,0.637332,0.952837,0.416650,0.319045,1.000000,53.020542,true
17958,49.1663,0.639941,0.952419,0.421360,0.321492,1.000000,53.256344,true
18031,49.3662,0.642558,0.951999,0.426072,0.323949,1.000000,53.492302,true
18104,49.5661,0.645181,0.951577,0.430789,0.326413,1.000000,53.728447,true
18177,49.7659,0.647812,0.951152,0.435509,0.328886,1.000000,53.964844,true
18250,49.9658,0.650450,0.950725,0.440233,0.331367,1.000000,54.201401,true
18323,50.1656,0.653095,0.950295,0.444960,0.333856,1.000000,54.438118,true
18396,50.3655,0.655747,0.949862,0.449691,0.336354,1.000000,54.675098,true
18469,50.5654,0.658406,0.949427,0.454425,0.338859,1.000000,54.912258,true
18542,50.7652,0.661072,0.948989,0.459163,0.341373,1.000000,55.149582,true
18615,50.9651,0.663743,0.948549,0.463905,0.343895,1.000000,55.387119,true
18688,51.1650,0.666416,0.948106,0.466376,0.346084,1.000000,55.624889,true
18761,51.3648,0.669094,0.947661,0.468367,0.348209,1.000000,55.862827,true
18834,51.5647,0.671777,0.947213,0.470361,0.350342,1.000000,56.100933,true
18907,51.7645,0.674467,0.946762,0.472359,0.352483,1.000000,56.339306,true
18980,51.9644,0.677163,0.946309,0.474361,0.354631,1.000000,56.577862,true
19053,52.1643,0.679864,0.945854,0.476365,0.356788,1.000000,56.816586,true
19126,52.3641,0.682571,0.945396,0.478373,0.358952,1.000000,57.055515,true
19199,52.5640,0.685283,0.944935,0.480385,0.361125,1.000000,57.294693,true
19272,52.7639,0.688000,0.944472,0.482399,0.363305,1.000000,57.534042,true
19345,52.9637,0.690722,0.944006,0.484417,0.365493,1.000000,57.773567,true
19418,53.1636,0.693449,0.943538,0.486438,0.367689,1.000000,58.013332,true
19491,53.3634,0.696181,0.943067,0.488463,0.369893,1.000000,58.253311,true
19564,53.5633,0.698917,0.942594,0.490491,0.372104,1.000000,58.493465,true
19637,53.7632,0.701658,0.942118,0.492522,0.374324,1.000000,58.733799,true
19710,53.9630,0.704403,0.941640,0.494556,0.376550,1.000000,58.974400,true
19783,54.1629,0.707151,0.941159,0.496594,0.378785,1.000000,59.215191,true
19856,54.3628,0.709904,0.940676,0.498635,0.381027,1.000000,59.456161,true
19929,54.5626,0.712660,0.940190,0.500679,0.383277,1.000000,59.697319,true
20002,54.7625,0.715419,0.939702,0.502727,0.385534,1.000000,59.938747,true
20075,54.9624,0.718181,0.939211,0.504777,0.387799,1.000000,60.180359,true
20148,55.1622,0.720947,0.938717,0.506831,0.390071,1.000000,60.422153,true
20221,55.3621,0.723715,0.938221,0.508888,0.392351,1.000000,60.664146,true
20294,55.5619,0.726486,0.937723,0.510949,0.394639,1.000000,60.906403,true
20367,55.7618,0.729259,0.937221,0.513013,0.396934,1.000000,61.148842,true
20440,55.9617,0.732034,0.936718,0.515079,0.399236,1.000000,61.391468,true
20513,56.1615,0.734811,0.936211,0.517150,0.401546,1.000000,61.634296,true
20586,56.3614,0.737590,0.935703,0.519223,0.403863,1.000000,61.877388,true
20659,56.5613,0.740370,0.935191,0.521299,0.406187,1.000000,62.120667,true
20732,56.7611,0.743151,0.934678,0.523379,0.408519,1.000000,62.364132,true
20805,56.9610,0.745934,0.934161,0.525462,0.410858,1.000000,62.607796,true
20878,57.1608,0.748717,0.933643,0.527548,0.413204,1.000000,62.851730,true
20951,57.3607,0.751501,0.933121,0.529638,0.415557,1.000000,63.095852,true
